City,County,School District,Scope,Category,Notes,Feed Name,Feed Format,Valid,Status Code,Feed URL
Snohomish,Snohomish,Snohomish School District,city,City Council,Discovered Legistar Agenda & Video Portal,Snohomish Legistar Portal,legistar,Yes,200,https://snohomish.legistar.com/Calendar.aspx
Snohomish,Snohomish,Snohomish School District,school,News Feed,Direct RSS Feed (/rss.cfm?news=0),Snohomish School District RSS Feed,rss,Yes,200,https://www.sno.wednet.edu/rss.cfm?news=0
Snohomish,Snohomish,Snohomish School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Snohomish RSS Feed,rss,Yes,200,https://www.snohomishwa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Snohomish,Snohomish,Snohomish School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Snohomish RSS Feed,rss,Yes,200,https://www.snohomishwa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Stanwood,Snohomish,Stanwood-Camano School District,city,City Council,Discovered CivicClerk Meeting Portal,Stanwood CivicClerk Portal,external_link,Yes,200,https://stanwoodwa.civicclerk.com
Stanwood,Snohomish,Stanwood-Camano School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Stanwood RSS Feed,rss,Yes,200,https://stanwoodwa.org/RSSFeed.aspx?ModID=1&MainCatID=1
Stanwood,Snohomish,Stanwood-Camano School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Stanwood RSS Feed,rss,Yes,200,https://stanwoodwa.org/RSSFeed.aspx?ModID=58&MainCatID=1
Stanwood,Snohomish,Stanwood-Camano School District,school,News Feed,Direct RSS Feed (/rss.cfm?news=0),Stanwood-Camano School District RSS Feed,rss,Yes,200,https://www.stanwood.wednet.edu/rss.cfm?news=0
Sultan,Snohomish,Sultan School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Sultan RSS Feed,rss,Yes,200,https://www.sultanwa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Sultan,Snohomish,Sultan School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Sultan RSS Feed,rss,Yes,200,https://www.sultanwa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
